Role	KSA ID	Knowledge
SP-RSK-001	K0001	Knowledge of computer networking concepts and protocols, and network security methodologies.
SP-RSK-001	K0002	Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
SP-RSK-001	K0003	Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.
SP-RSK-001	K0004	Knowledge of cybersecurity and privacy principles.
SP-RSK-001	K0005	Knowledge of cyber threats and vulnerabilities.
SP-RSK-001	K0006	Knowledge of specific operational impacts of cybersecurity lapses.
SP-RSK-001	K0013	Knowledge of cyber defense and vulnerability assessment tools and their capabilities.
SP-RSK-001	K0019	Knowledge of cryptography and cryptographic key management concepts
SP-RSK-001	K0027	Knowledge of organization's enterprise information security architecture.
SP-RSK-001	K0028	Knowledge of organization's evaluation and validation requirements.
SP-RSK-001	K0037	Knowledge of Security Assessment and Authorization process.
SP-RSK-001	K0038	Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data.
SP-RSK-001	K0040	Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins).
SP-RSK-001	K0044	Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-RSK-001	K0048	Knowledge of Risk Management Framework (RMF) requirements.
SP-RSK-001	K0049	Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption).
SP-RSK-001	K0054	Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities.
SP-RSK-001	K0059	Knowledge of new and emerging information technology (IT) and cybersecurity technologies.
SP-RSK-001	K0070	Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code).
SP-RSK-001	K0084	Knowledge of structured analysis principles and methods.
SP-RSK-001	K0089	Knowledge of systems diagnostic tools and fault identification techniques.
SP-RSK-001	K0101	Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
SP-RSK-001	K0126	Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
SP-RSK-001	K0146	Knowledge of the organization's core business/mission processes.
